,s1,s2,s3,s4,s5,s6,s7,s8,s9,frameID,sens_timestamp,x,y,z,isLeft,GT_timestamp
0,1000,1000,1000,1000,1000,69,1000,1000,98,119,151075513270621,-10000.0,-10000.0,-10000.0,0,1510755132684378
1,1000,1000,122,1000,1000,85,1000,1000,99,120,151075513273897,-10000.0,-10000.0,-10000.0,0,1510755132719102
2,1000,106,99,1000,70,102,1000,97,82,121,151075513277000,-10000.0,-10000.0,-10000.0,0,1510755132753751
3,1000,105,81,1000,82,57,135,96,94,122,151075513281786,-10000.0,-10000.0,-10000.0,0,1510755132805817
4,113,90,1000,72,103,116,102,81,148,123,151075513284985,-10000.0,-10000.0,-10000.0,0,1510755132840523
5,92,1000,1000,80,91,1000,89,78,1000,124,151075513289771,-10000.0,-10000.0,-10000.0,0,1510755132875184
6,98,1000,1000,98,65,1000,93,90,1000,125,151075513292968,-10000.0,-10000.0,-10000.0,0,1510755132909947
7,95,1000,1000,102,64,1000,94,97,1000,126,151075513296189,-10000.0,-10000.0,-10000.0,0,1510755132944570
8,117,1000,1000,101,74,1000,93,93,1000,127,151075513300979,-10000.0,-10000.0,-10000.0,0,1510755132996620
9,126,1000,1000,76,71,1000,87,81,1000,128,151075513304171,-10000.0,-10000.0,-10000.0,0,1510755133031284
10,107,1000,1000,57,60,1000,82,76,1000,129,151075513308960,-10000.0,-10000.0,-10000.0,0,1510755133083322
11,87,1000,1000,59,75,1000,79,85,1000,130,151075513312162,-10000.0,-10000.0,-10000.0,0,1510755133100687
12,97,1000,1000,47,93,1000,107,88,131,131,151075513316929,-10000.0,-10000.0,-10000.0,0,1510755133152725
13,129,136,1000,66,90,71,141,86,80,132,151075513320276,-6.47086381912,65.7784881592,57.1505699158,1,1510755133187413
14,1000,87,1000,98,77,47,1000,83,75,133,151075513323445,1.15352642536,70.0955734253,55.2700080872,1,1510755133222014
15,1000,108,1000,1000,61,46,1000,80,72,134,151075513328290,13.2190380096,72.7699813843,51.9095573425,1,1510755133274003
16,1000,97,143,1000,52,56,1000,81,77,135,151075513331335,17.4222507477,72.7381896973,51.2776451111,1,1510755133291300
17,1000,123,81,1000,42,73,1000,81,82,136,151075513336101,28.0416526794,70.1373977661,52.4055480957,1,1510755133343497
18,1000,1000,89,1000,51,78,1000,85,83,137,151075513339328,30.3549861908,72.3981246948,53.6057624817,1,1510755133378181
19,1000,1000,102,1000,58,60,1000,85,74,138,151075513342527,31.1287689209,72.777923584,53.6861114502,1,1510755133412870
20,1000,1000,117,1000,55,42,1000,79,65,139,151075513347349,31.3466625214,71.2642211914,53.4386787415,1,1510755133464900
21,1000,1000,125,1000,36,38,1000,75,61,140,151075513350587,30.8135852814,70.3790740967,53.5960044861,1,1510755133482318
22,1000,1000,90,1000,45,66,1000,81,56,141,151075513355292,18.3980903625,67.9487304688,58.4494781494,1,1510755133534228
23,1000,1000,63,1000,36,82,150,80,93,142,151075513358504,18.3980903625,67.9487304688,58.4494781494,1,1510755133534228
24,1000,1000,77,64,40,1000,94,64,1000,143,151075513361701,-3.3544383049,63.5685920715,59.7830696106,1,1510755133603601
25,1000,1000,1000,55,44,1000,70,49,1000,144,151075513366496,-27.1147956848,64.4809265137,63.0639953613,1,1510755133655613
26,1000,74,1000,37,79,1000,75,49,1000,145,151075513369693,-35.8043861389,67.0596618652,64.0514526367,1,1510755133690299
27,1000,147,1000,46,118,1000,84,64,1000,146,151075513374479,-46.2015380859,69.0608215332,63.5949821472,1,1510755133725000
28,86,1000,1000,47,125,1000,90,96,1000,147,151075513377685,-52.4454231262,69.1254730225,62.9388771057,1,1510755133759741
29,71,1000,1000,55,1000,1000,88,88,1000,148,151075513380882,-53.6718788147,69.3033599854,62.5592880249,1,1510755133794371
30,87,1000,1000,57,139,1000,89,75,1000,149,151075513385681,-51.9009399414,69.2797927856,62.8452911377,1,1510755133846432
31,95,1000,1000,49,65,1000,85,69,1000,150,151075513389028,-40.3680305481,71.5736160278,64.5294647217,1,1510755133881178
32,81,1000,1000,58,49,1000,75,75,122,151,151075513393668,-23.414981842,74.5704269409,62.1459159851,1,1510755133915859
33,58,132,1000,74,57,1000,1000,78,82,152,151075513396952,3.23957037926,75.2384033203,60.8079071045,1,1510755133950577
34,1000,109,1000,1000,65,63,1000,100,94,153,151075513401636,43.505645752,80.4239273071,58.1430740356,1,1510755134002596
35,1000,1000,172,1000,1000,50,1000,1000,77,154,151075513404877,75.7345581055,87.5173034668,64.7623977661,1,1510755134037223
36,1000,1000,1000,1000,1000,71,1000,1000,1000,155,151075513408281,111.326591492,95.1310272217,61.7322540283,1,1510755134071968
